,Feature,Correlation with target
1,odor_n,-0.785556622236773
2,odor_f,0.6238419598140281
3,stalk-surface-above-ring_k,0.5876582576307197
4,stalk-surface-below-ring_k,0.5735240117095939
5,ring-type_p,-0.5404689127747757
6,gill-size_n,0.5400243574329691
7,gill-size_b,-0.5400243574329489
8,gill-color_b,0.5388081615534537
9,bruises_f,0.5015303774076934
10,bruises_t,-0.5015303774076934
11,stalk-surface-above-ring_s,-0.49131418071172733
12,spore-print-color_h,0.4902291705695297
13,ring-type_l,0.45161906631733145
14,population_v,0.44372237905535494
15,stalk-surface-below-ring_s,-0.4254440458550062
16,spore-print-color_n,-0.4166452971073143
17,spore-print-color_k,-0.3968322009032148
18,spore-print-color_w,0.3573840060325342
19,gill-spacing_w,-0.3483867851842469
20,gill-spacing_c,0.3483867851842469
21,habitat_p,0.32334578692873833
22,gill-color_n,-0.28894290102225617
23,odor_y,0.2863596480470045
24,odor_s,0.28635964804700414
25,stalk-color-below-ring_g,-0.2664886838764194
26,stalk-color-above-ring_g,-0.2664886838764168
27,stalk-color-below-ring_b,0.2456624391757547
28,stalk-color-above-ring_b,0.24566243917575434
29,stalk-color-above-ring_n,0.23316368640596521
30,gill-color_w,-0.23131622231271617
31,stalk-color-below-ring_p,0.2302768748299873
32,stalk-color-above-ring_p,0.23027687482998688
33,ring-type_e,0.22328591679317514
34,population_n,-0.21952922241347553
35,odor_a,-0.21952922241344178
36,odor_l,-0.21952922241344153
37,stalk-root_c,-0.2185476001698429
38,stalk-color-above-ring_w,-0.21774043353234215
39,population_a,-0.21487139719902212
40,stalk-color-below-ring_w,-0.21411214894715289
41,ring-number_t,-0.20459959468741934
42,stalk-color-below-ring_n,0.20396577010583478
43,stalk-root_e,-0.20283885998337453
44,cap-surface_f,-0.19541477669457052
45,gill-color_u,-0.19535917121358332
46,odor_p,0.18698395047808294
47,cap-shape_b,-0.18256668950506866
48,ring-number_o,0.1821013741723701
49,habitat_g,-0.16500414599798083
50,cap-shape_k,0.16356508085619387
51,odor_c,0.16127824377954467
52,population_s,-0.15957159653995584
53,habitat_l,0.15514953289219263
54,gill-color_h,0.15069434851291427
55,stalk-root_r,-0.15008688275680646
56,stalk-color-below-ring_o,-0.1500868827567986
57,stalk-color-above-ring_o,-0.1500868827567986
58,habitat_w,-0.1500868827567946
59,gill-color_k,-0.14964064018822656
60,veil-color_w,0.14054124612754
61,habitat_m,-0.13862663152256316
62,population_c,-0.13764485472021376
63,stalk-surface-below-ring_f,-0.13678187461173996
64,cap-color_w,-0.13368288213880986
65,gill-attachment_a,-0.1291998602679053
66,gill-attachment_f,0.12919986026790528
67,habitat_d,-0.1261231199145391
68,gill-color_g,0.1202846313735277
69,stalk-surface-above-ring_f,-0.1195032030719708
70,cap-color_y,0.11301388688237138
71,habitat_u,0.11207815283453494
72,population_y,-0.10705486060476849
73,stalk-color-below-ring_e,-0.10549100033272961
74,veil-color_o,-0.10549100033272717
75,veil-color_n,-0.10549100033272697
76,gill-color_e,-0.10549100033272432
77,stalk-color-above-ring_e,-0.10549100033272378
78,stalk-shape_e,0.10201901701656592
79,stalk-shape_t,-0.10201901701656592
80,spore-print-color_r,0.09802365435298666
81,cap-color_e,0.09711241151697489
82,cap-surface_s,0.09545448428229902
83,cap-surface_y,0.08867702391664586
84,gill-color_o,-0.08596188733731708
85,stalk-surface-below-ring_y,-0.08167385587596108
86,spore-print-color_b,-0.07437139702537982
87,ring-type_f,-0.07437139702537976
88,spore-print-color_y,-0.07437139702537969
89,spore-print-color_o,-0.07437139702537954
90,spore-print-color_u,-0.07437139702537866
91,odor_m,0.06915876083185818
92,ring-number_n,0.06915876083185818
93,stalk-color-above-ring_c,0.06915876083185818
94,ring-type_n,0.06915876083185818
95,stalk-color-below-ring_c,0.06915876083185818
96,cap-color_b,0.06754404517616339
97,cap-shape_s,-0.06066392808020069
98,gill-color_r,0.056426048189081486
99,stalk-color-below-ring_y,0.05642604818907945
100,gill-color_p,-0.050379722975025555
101,gill-color_y,-0.04682810363234856
102,cap-color_g,-0.04645578646283457
103,cap-color_n,-0.04435988270151348
104,cap-color_u,-0.042853529523696844
105,cap-color_r,-0.042853529523695075
106,cap-color_p,0.03470228376929202
107,stalk-color-above-ring_y,0.03254546629861227
108,veil-color_y,0.03254546629861227
109,cap-color_c,-0.030910302793340092
110,cap-shape_x,-0.026885747348739473
111,cap-surface_g,0.0230074509622556
112,cap-shape_c,0.023007450962254435
